,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
418,RCOM,EQ,2019-01-18,13.55,13.6,13.6,13.25,13.3,13.35,13.39,50095135,670823627.2,43759,4916706,9.81,1,2019,19.861588136973133,-0.014760147601476148,Slight or No change
419,RCOM,EQ,2019-01-21,13.35,13.4,13.5,13.05,13.2,13.1,13.26,46124415,611697887.2,59676,4167218,9.03,1,2019,19.85303066478985,-0.01872659176029967,Slight or No change
420,RCOM,EQ,2019-01-22,13.1,13.1,13.45,12.85,13.25,13.35,13.07,59954052,783656223.85,50152,7394558,12.33,1,2019,19.841620882044275,0.01908396946564883,Slight or No change
421,RCOM,EQ,2019-01-23,13.35,13.3,13.4,12.85,13.0,12.95,13.11,59736285,782899815.6,23826,6592494,11.04,1,2019,19.830357582176877,-0.029962546816479474,Slight or No change
422,RCOM,EQ,2019-01-24,12.95,12.75,13.2,12.65,12.85,12.85,12.94,62852835,813167132.95,54526,8098766,12.89,1,2019,19.8182485196372,-0.007722007722007707,Slight or No change
423,RCOM,EQ,2019-01-25,12.85,12.85,12.95,12.35,12.4,12.45,12.65,27002942,341529084.9,54275,6726541,24.91,1,2019,19.812840475185023,-0.0311284046692607,Slight or No change
424,RCOM,EQ,2019-01-28,12.45,12.45,12.45,11.85,12.2,12.15,12.14,47207121,573045484.6,21446,7311111,15.49,1,2019,19.802733821826468,-0.02409638554216864,Slight or No change
425,RCOM,EQ,2019-01-29,12.15,12.05,12.6,12.0,12.1,12.1,12.28,44626964,548216417.55,16778,5975234,13.39,1,2019,19.79337812209601,-0.004115226337448652,Slight or No change
426,RCOM,EQ,2019-01-30,12.1,12.1,12.35,11.35,11.45,11.55,11.86,43666454,517848431.0,21540,7832185,17.94,1,2019,19.783735810767723,-0.045454545454545414,Slight or No change
427,RCOM,EQ,2019-01-31,11.55,11.55,12.1,10.9,12.0,11.75,11.38,61641012,701583036.45,53278,11235837,18.23,1,2019,19.76934210123263,0.017316017316017174,Slight or No change
428,RCOM,EQ,2019-02-01,11.75,12.0,12.1,11.5,11.55,11.6,11.81,56418188,666200143.75,29929,5544985,9.83,2,2019,19.75688415079305,-0.012765957446808529,Slight or No change
429,RCOM,EQ,2019-02-04,11.6,10.45,10.45,5.3,7.55,7.55,7.34,378845417,2780726185.1,182518,48347702,12.76,2,2019,19.62773717377879,-0.34913793103448276,Slight or No change
430,RCOM,EQ,2019-02-05,7.55,7.45,7.55,5.35,5.4,5.55,6.13,393801088,2412313134.1,166348,62373515,15.84,2,2019,19.483367067231182,-0.26490066225165565,Slight or No change
431,RCOM,EQ,2019-02-06,5.55,5.25,6.55,4.85,5.65,5.5,5.32,272318926,1448155094.35,88449,37594051,13.81,2,2019,19.379379034307497,-0.009009009009009028,Slight or No change
432,RCOM,EQ,2019-02-07,5.5,5.5,5.7,4.9,5.15,5.2,5.19,186818436,970164415.45,60781,30930183,16.56,2,2019,19.30826748114293,-0.054545454545454564,Slight or No change
433,RCOM,EQ,2019-02-08,5.2,4.9,5.55,4.9,5.45,5.35,5.32,136497533,726241047.65,42039,15183219,11.12,2,2019,19.257233620375043,0.028846153846153744,Slight or No change
